SE_1,SE_2,labels,filename
-0.009383930085181073,-0.0005433685596689659,ketch,ketch_0054
-0.00593572164249996,0.0005888861442309481,airplane,airplane_0266
0.0017928871344193254,-0.003861180388652497,airplane,airplane_0423
-0.007979072814273392,-0.0004512917889381858,ferry,ferry_0041
-0.010524149750887463,-1.3107504731138585e-05,airplane,airplane_0240
-0.009448750725822607,-0.0002041483173691913,car,car_0054
0.0019036082507730239,0.003143701180796141,motorbike,motorbike_0121
0.009627188100948836,0.010827576527973823,motorbike,motorbike_0631
-0.007118311747035278,0.0009638187612396604,airplane,airplane_0337
0.016307953562236382,0.044340061639320506,motorbike,motorbike_0738
0.011211226986034556,-0.009783088996167722,motorbike,motorbike_0557
0.011896808771083112,0.02639596137789476,motorbike,motorbike_0221
-0.009803077122456743,-0.00016347200396049074,car,car_0075
-0.005508076753592511,-0.0006852750739855256,airplane,airplane_0438
-0.009504507336682184,-0.00020603656182729832,car,car_0100
0.008108601833940793,0.008631721640996296,airplane,airplane_0034
0.009945555157645941,0.012783597078157913,motorbike,motorbike_0681
-0.009383278564973995,-0.00021804491742928491,motorbike,motorbike_0193
-0.008093542745837956,-0.00015511889158993848,airplane,airplane_0786
-0.008684704781230613,0.00031998051761308654,airplane,airplane_0469
0.002573497673012516,-0.003615894767983692,ketch,ketch_0048
0.011220053709929716,-0.009508666836632448,airplane,airplane_0206
-0.004999981271631887,-0.0010973021949861562,airplane,airplane_0646
-0.006595023140472182,0.0004590368012083119,airplane,airplane_0042
-0.003361451467215249,-0.0004038697381428039,airplane,airplane_0692
0.00971596148260873,0.010084385652373679,motorbike,motorbike_0668
-0.008897753406628298,8.139258923490238e-05,car,car_0108
-0.005781484072499453,0.0009441205064670194,motorbike,motorbike_0226
-0.0057521845557461935,0.002088792841206416,airplane,airplane_0454
-0.00729994853165269,0.0007727799009673121,motorbike,motorbike_0622
-0.00772017109155191,3.351825071717078e-05,airplane,airplane_0636
0.01140581356462435,0.02406287704588338,motorbike,motorbike_0316
-0.00866982209786096,0.00029587919682603976,motorbike,motorbike_0050
-0.00403276309738441,0.0018580795681637308,airplane,airplane_0157
-0.00809275563047495,-0.0003999001418275588,airplane,airplane_0638
-0.007346426232324199,-2.3327817895634312e-05,airplane,airplane_0699
0.004045429891492851,-0.004529643383885999,airplane,airplane_0002
0.010044335141347584,0.014526972161843925,motorbike,motorbike_0296
-0.003795284382236087,-0.0010765188839280712,helicopter,helicopter_0071
-0.006573959001426336,0.0006082906446513088,airplane,airplane_0160
-0.0050472342358271645,0.0008941179345099855,airplane,airplane_0138
0.014143590468738174,-0.012082576459611541,motorbike,motorbike_0047
-0.009239805176568288,-0.00021803727001983941,car,car_0024
-0.0022015939924766308,-0.002302511628855755,ketch,ketch_0094
-0.008722246787480688,0.00020685980997265426,airplane,airplane_0364
0.010058803628252656,-0.008860679770772938,helicopter,helicopter_0023
0.0005248468444425974,0.007195090172746689,motorbike,motorbike_0271
-0.010025979700813743,-0.0004243200974201709,airplane,airplane_0678
0.015072816933540876,-0.013492735376411085,motorbike,motorbike_0400
0.010521514775233548,0.018755951961610288,motorbike,motorbike_0688
-0.009223173116657123,-0.00025885545412097016,helicopter,helicopter_0011
-0.010554533302936604,-2.398791467564072e-05,airplane,airplane_0495
0.014738228138639816,-0.012792575552902622,motorbike,motorbike_0587
-0.009157501088615124,-0.00023549180611989151,airplane,airplane_0321
-0.005184841815117534,-0.00109515875849755,motorbike,motorbike_0389
0.001473125055347584,0.007542628052380139,motorbike,motorbike_0195
-0.0064297297041148406,5.425135926687575e-05,airplane,airplane_0581
-0.0076541803116744606,1.005116218764456e-05,airplane,airplane_0533
-0.005580897384868414,-0.00019438556274720681,airplane,airplane_0155
0.016047881762586997,0.04328539368924893,motorbike,motorbike_0727
0.014948171183352909,-0.013328795455511293,motorbike,motorbike_0546
-0.006313126458914419,-0.0006058556007633767,airplane,airplane_0629
-0.004192515618686375,-0.0015693865086972036,ketch,ketch_0049
0.014026908909903808,-0.01245949754134651,motorbike,motorbike_0689
-0.008401335579216702,-0.00025261070007086007,airplane,airplane_0790
0.013568528651317177,-0.01160379113308638,motorbike,motorbike_0790
0.009957640122229086,0.013086401513537528,motorbike,motorbike_0396
0.003938114233835111,0.00746897025827736,motorbike,motorbike_0142
-0.004434182632535817,6.913933911484367e-06,airplane,airplane_0559
-0.009297648467156227,-0.000206943253211342,car,car_0097
0.0008961333836272071,-0.002423552194982385,motorbike,motorbike_0030
0.010734958155488788,-0.004042583458319999,motorbike,motorbike_0709
-0.009644971568679573,-7.694752284049419e-05,ferry,ferry_0038
0.015105652804434447,-0.013599261501223934,motorbike,motorbike_0473
-0.009990492496752958,-0.000204402077583164,helicopter,helicopter_0004
-0.00760117161445216,3.6399152477812918e-06,airplane,airplane_0732
0.009609435408299085,0.007815393039269427,motorbike,motorbike_0604
0.01012977953512182,0.016353478852783033,motorbike,motorbike_0789
-0.008991250912858309,-0.00019171564417207667,airplane,airplane_0713
-0.009501482754945834,-0.00020400379251990592,car,car_0092
-0.007306037469451379,0.0002632349024848785,airplane,airplane_0258
0.009706308877560837,0.013086827782438762,motorbike,motorbike_0635
0.00987135647811872,-0.005200671098842203,motorbike,motorbike_0386
-0.009760395215042454,-0.0001540192342037497,car,car_0014
-0.010515070018183598,-3.943165782083394e-05,motorbike,motorbike_0682
-0.00800283421264348,0.00035274678047951714,airplane,airplane_0500
0.01352191619007973,0.033149683854734394,motorbike,motorbike_0744
-0.008981273485432043,-0.0005934329596967871,ketch,ketch_0067
-0.0047207572224125536,0.0003159095106497093,airplane,airplane_0535
0.0003408631846798332,-0.002597688855255326,airplane,airplane_0075
-0.007986832658574436,0.00016662727268335336,airplane,airplane_0518
0.015090380200532525,-0.013509142632825408,motorbike,motorbike_0500
0.010180345782662898,0.015557420439848316,motorbike,motorbike_0754
-0.004341388406721451,0.0014512344120002597,motorbike,motorbike_0247
0.014317295517103038,-0.012807588898253744,motorbike,motorbike_0791
-0.007707262663799498,0.000509432114302313,airplane,airplane_0149
0.015285696600360513,-0.013856698167553064,motorbike,motorbike_0011
-0.008551639837849602,-0.00030172374664983186,car,car_0095
-0.006674891112487725,-0.0004072214349070477,airplane,airplane_0359
0.007722444739877569,-0.0015977217297803235,motorbike,motorbike_0338
-0.006056259623965102,-0.0008374936839311952,airplane,airplane_0445
0.005047414489310526,-0.0049843926718821105,airplane,airplane_0019
-0.00464540463598075,-0.0009156748433523339,ketch,ketch_0081
-0.000617160613556418,0.006566769722893558,motorbike,motorbike_0116
-0.008192909212325544,0.0006386282368514549,motorbike,motorbike_0106
-0.00950899878920436,-4.789371825103211e-05,airplane,airplane_0219
-0.0038392724602757,-0.00044436188027940633,airplane,airplane_0043
0.01517686469613562,-0.013690209346561849,motorbike,motorbike_0422
-0.008787117336221291,0.00017508088930339304,airplane,airplane_0366
-0.005198103558859693,-0.001020714785244796,ketch,ketch_0056
-0.005343006315269272,-0.0006058192891435188,airplane,airplane_0421
