TSNE_1,TSNE_2,labels,filename
22.872953,-34.045185,ketch,ketch_0054
-27.43455,1.0363795,airplane,airplane_0266
25.889406,5.124034,airplane,airplane_0423
11.645583,-26.002012,ferry,ferry_0041
-17.631393,-45.728424,airplane,airplane_0240
0.61079365,-36.22011,car,car_0054
-5.8197823,19.54023,motorbike,motorbike_0121
-9.434648,33.449093,motorbike,motorbike_0631
-27.316807,-19.38926,airplane,airplane_0337
-34.47121,37.32451,motorbike,motorbike_0738
25.21619,27.946936,motorbike,motorbike_0557
-26.507706,37.111603,motorbike,motorbike_0221
-0.13497406,-48.519947,car,car_0075
-3.3825064,-7.213311,airplane,airplane_0438
7.1791954,-41.772537,car,car_0100
-11.46845,33.761093,airplane,airplane_0034
-12.696116,43.11237,motorbike,motorbike_0681
-7.77398,-40.109013,motorbike,motorbike_0193
-11.484582,-14.195495,airplane,airplane_0786
-32.001495,-30.409754,airplane,airplane_0469
14.141128,4.599752,ketch,ketch_0048
27.181707,29.18042,airplane,airplane_0206
6.6817720000000005,-11.641289,airplane,airplane_0646
-27.936546000000003,-6.0622144,airplane,airplane_0042
1.6535788,4.4184217000000015,airplane,airplane_0692
-8.678009,38.157787,motorbike,motorbike_0668
-9.760473,-35.25869,car,car_0108
-34.158653,-1.7607113999999997,motorbike,motorbike_0226
-35.577984,1.3294492,airplane,airplane_0454
-36.843086,-4.819556,motorbike,motorbike_0622
-12.951636,-12.396243,airplane,airplane_0636
-26.085815,38.62045300000001,motorbike,motorbike_0316
-25.24857,-41.556713,motorbike,motorbike_0050
-29.953876,0.038667172,airplane,airplane_0157
-5.3037934,-17.802998000000006,airplane,airplane_0638
-13.792141,-8.695265,airplane,airplane_0699
17.772417,16.213943,airplane,airplane_0002
-13.922941,43.946743,motorbike,motorbike_0296
13.672323,-4.2993484,helicopter,helicopter_0071
-24.7021,-9.85332,airplane,airplane_0160
-28.62558,-0.5869343000000001,airplane,airplane_0138
28.173677,37.186005,motorbike,motorbike_0047
0.697856,-33.367,car,car_0024
24.116982,-3.720621,ketch,ketch_0094
-30.076853000000003,-27.838669,airplane,airplane_0364
27.913023,26.06292,helicopter,helicopter_0023
-30.96062,14.156019,motorbike,motorbike_0271
19.731215,-37.87208,airplane,airplane_0678
36.69593,37.49769000000001,motorbike,motorbike_0400
-22.81464,40.50071,motorbike,motorbike_0688
3.8630037000000006,-36.94701,helicopter,helicopter_0011
-16.535337,-45.799618,airplane,airplane_0495
44.157486,34.414590000000004,motorbike,motorbike_0587
-2.4884484,-31.470974,airplane,airplane_0321
14.874366,-7.274814599999999,motorbike,motorbike_0389
-30.417833,15.358048000000002,motorbike,motorbike_0195
-12.11155,-2.997828,airplane,airplane_0581
-17.211782,-15.867235999999998,airplane,airplane_0533
-0.12359749,-0.9638624,airplane,airplane_0155
-36.84258,38.650738,motorbike,motorbike_0727
38.34155,31.06394,motorbike,motorbike_0546
-8.969332000000003,-4.872349,airplane,airplane_0629
21.030954,-8.142913,ketch,ketch_0049
33.122242,31.19775,motorbike,motorbike_0689
