UMAP_1,UMAP_2,labels,filename
-2.531763,8.195625,strawberry,strawberry_0002
1.2937752,2.1713095,strawberry,strawberry_0016
0.32302955,-2.3680773,lotus,lotus_0018
2.2006452000000003,3.3497488,sunflower,sunflower_0085
-2.938386,7.533834,lotus,lotus_0024
1.3983208999999999,4.32091,lotus,lotus_0030
-1.8805822,-0.08988289,joshua_tree,joshua_tree_0037
-2.0840743,0.31950352,joshua_tree,joshua_tree_0023
0.05510509,9.702132,sunflower,sunflower_0046
2.1037302,6.108124,sunflower,sunflower_0052
1.5683185,4.113919,bonsai,bonsai_0029
-0.2685582,-3.6843839,bonsai,bonsai_0015
-3.0482717,7.4734545,bonsai,bonsai_0001
-0.48590738,-2.8695939,bonsai,bonsai_0014
-0.042210907,2.2116055,bonsai,bonsai_0028
-2.831502,9.033533,sunflower,sunflower_0053
1.9801330000000001,-1.9973993000000003,sunflower,sunflower_0047
-2.0704827,2.6861064,joshua_tree,joshua_tree_0022
-1.6900848000000002,0.83855677,joshua_tree,joshua_tree_0036
0.8566110999999998,-1.9121627,lotus,lotus_0031
1.2218351,6.839082,sunflower,sunflower_0084
3.3253547999999995,-1.3618039,lotus,lotus_0025
2.8111336,-2.093467,lotus,lotus_0019
-1.0862665,7.2469406,strawberry,strawberry_0017
0.08468658,7.492189999999999,strawberry,strawberry_0003
-2.679057,7.231575500000001,strawberry,strawberry_0029
0.93804467,8.394366,strawberry,strawberry_0015
2.2337928,1.2407068,strawberry,strawberry_0001
0.22320725,-1.5215653999999998,lotus,lotus_0033
-1.0318394,-1.0120523000000001,lotus,lotus_0027
0.6195444999999999,5.183548,joshua_tree,joshua_tree_0020
2.9423196,5.632316599999999,sunflower,sunflower_0079
-0.011593626999999999,5.9593525000000005,joshua_tree,joshua_tree_0034
3.1442826,0.21431565,sunflower,sunflower_0051
-2.5825555000000002,1.9119803,sunflower,sunflower_0045
-3.1848655,6.635985400000001,joshua_tree,joshua_tree_0008
-2.178814,7.167209,bonsai,bonsai_0002
1.0100632999999999,2.3061235,bonsai,bonsai_0016
0.94392395,-1.4032565000000001,bonsai,bonsai_0017
-0.37419933,1.6073899,bonsai,bonsai_0003
-1.0681051000000001,8.074402000000001,joshua_tree,joshua_tree_0009
0.9103104,0.23469606,sunflower,sunflower_0044
2.3849342,5.8444376,sunflower,sunflower_0050
-2.0301256000000003,1.8620131000000002,joshua_tree,joshua_tree_0035
-0.22811869999999998,8.569937,sunflower,sunflower_0078
-1.8169322,6.486095400000001,joshua_tree,joshua_tree_0021
-0.035437882000000004,-0.71396375,lotus,lotus_0026
-3.576459,7.753094,lotus,lotus_0032
1.7839127000000001,6.820158,strawberry,strawberry_0014
2.1382312999999997,-1.7969338,strawberry,strawberry_0028
1.5398691,-3.294722,strawberry,strawberry_0010
-2.1958512999999997,9.190263999999999,strawberry,strawberry_0004
0.282352,-4.211066000000001,lotus,lotus_0036
3.1128485,5.6085677,sunflower,sunflower_0083
3.1157842000000002,-1.0619528,lotus,lotus_0022
1.541649,0.87938654,joshua_tree,joshua_tree_0019
3.3002870000000004,1.7804006,sunflower,sunflower_0054
1.8030905,-0.31774232,sunflower,sunflower_0040
-1.9688503000000002,7.608755,joshua_tree,joshua_tree_0025
2.2259982000000003,-2.8095014,sunflower,sunflower_0068
-0.9848565999999999,1.9725442,joshua_tree,joshua_tree_0031
-1.231735,7.9137707,bonsai,bonsai_0007
-3.2551491,8.522923,bonsai,bonsai_0013
0.93297696,5.5573735,bonsai,bonsai_0012
-3.283236,9.461862,bonsai,bonsai_0006
1.2669463,7.419086999999999,joshua_tree,joshua_tree_0030
-0.07583782,7.4950410000000005,sunflower,sunflower_0069
-1.2316978,6.3256326,joshua_tree,joshua_tree_0024
1.4968207,1.2811553,sunflower,sunflower_0041
-3.8776276,7.3230433,sunflower,sunflower_0055
-0.7108076,2.5097299,joshua_tree,joshua_tree_0018
3.1815696,3.4538279000000003,sunflower,sunflower_0082
0.50345635,-1.8207229,lotus,lotus_0023
3.4121447,-0.05303737,lotus,lotus_0037
1.1173719,4.530566,strawberry,strawberry_0005
-0.18462454,1.2095531000000002,strawberry,strawberry_0011
0.4218448,-3.9601421,strawberry,strawberry_0007
0.44492775,6.4242682,strawberry,strawberry_0013
1.7708650000000001,5.572274,lotus,lotus_0021
0.73502105,8.5821905,sunflower,sunflower_0080
2.3909025,5.3360877,lotus,lotus_0035
0.3508131,2.4536705000000003,lotus,lotus_0009
3.249559,4.188896700000001,sunflower,sunflower_0043
0.40567902,9.890895,sunflower,sunflower_0057
0.5032814,3.6782529999999998,joshua_tree,joshua_tree_0032
-1.5068275,2.2509255,joshua_tree,joshua_tree_0026
1.8104278999999999,4.7503443,bonsai,bonsai_0010
-2.728952,8.677069,bonsai,bonsai_0004
-0.77828246,-2.0381072000000002,bonsai,bonsai_0038
