UMAP_1,UMAP_2,labels,filename
9.544803,5.3613124,paris_triomphe,paris_triomphe_000348
6.573917,7.709293400000001,paris_triomphe,paris_triomphe_001072
6.679888,6.615556,paris_general,paris_general_003111
4.712162999999999,4.5009117,paris_moulinrouge,paris_moulinrouge_000736
7.15935,5.9005737,paris_general,paris_general_002958
-1.4035688999999998,5.2356176,paris_general,paris_general_002428
10.789439999999999,2.7713609,paris_sacrecoeur,paris_sacrecoeur_000096
1.8408388999999998,5.2799664,paris_general,paris_general_001697
7.372184,4.7811875,paris_sacrecoeur,paris_sacrecoeur_000204
5.709667,4.152118,paris_louvre,paris_louvre_000438
7.838152,3.8882462999999996,paris_general,paris_general_002387
10.32134,4.866886,paris_invalides,paris_invalides_000272
5.8127580000000005,6.5725994000000005,paris_invalides,paris_invalides_000254
5.2337027,4.91704,paris_moulinrouge,paris_moulinrouge_000397
-0.24237333,6.6009706999999995,paris_moulinrouge,paris_moulinrouge_000381
7.564437400000001,2.8784330000000002,paris_triomphe,paris_triomphe_000909
2.9342053,5.5882463,paris_general,paris_general_002459
4.7497888,7.9038634000000005,paris_moulinrouge,paris_moulinrouge_000261
0.6047897,5.313207,paris_invalides,paris_invalides_000361
8.076911,4.1943426,paris_triomphe,paris_triomphe_000914
9.6664295,6.165239,paris_louvre,paris_louvre_000015
4.960969400000001,5.6959777,paris_sacrecoeur,paris_sacrecoeur_000261
11.431852000000001,6.424339,paris_triomphe,paris_triomphe_000354
2.042467,6.868739,paris_triomphe,paris_triomphe_000905
6.988986,2.5062106,paris_sacrecoeur,paris_sacrecoeur_000581
9.426774,2.3829775,paris_moulinrouge,paris_moulinrouge_000445
0.71052617,6.702217999999999,paris_triomphe,paris_triomphe_001118
2.7696977,4.101848,paris_louvre,paris_louvre_000017
10.201611999999999,5.6985383,paris_invalides,paris_invalides_000710
-0.734538,6.652661,paris_moulinrouge,paris_moulinrouge_000528
8.492583,5.1789819999999995,paris_general,paris_general_001513
8.709211999999999,4.128595,paris_louvre,paris_louvre_000216
-1.2548667,5.044142,paris_general,paris_general_002703
-0.94292486,5.5617647,paris_general,paris_general_002220
11.839361,7.333642500000001,paris_general,paris_general_000372
5.868675,3.2969537000000004,paris_moulinrouge,paris_moulinrouge_000260
7.7991185,3.3954047999999997,paris_general,paris_general_002084
6.391908,6.701241499999999,paris_sacrecoeur,paris_sacrecoeur_000579
5.143815,9.081995,paris_invalides,paris_invalides_000411
4.362378,4.5639234,paris_general,paris_general_002661
9.654796000000001,4.484585,paris_general,paris_general_002626
6.1798267,3.5648804,paris_sacrecoeur,paris_sacrecoeur_000165
0.45844832,4.260661,paris_general,paris_general_000146
6.3790846,8.078446000000001,paris_general,paris_general_000306
6.3512363,3.2761645,paris_triomphe,paris_triomphe_000561
-0.46347812,5.8717875,paris_general,paris_general_000934
7.025767299999999,9.463213,paris_general,paris_general_002267
3.3093412000000004,6.7865267000000005,paris_general,paris_general_000299
11.109278,3.0596718999999997,paris_invalides,paris_invalides_000030
10.592024,6.626935499999999,paris_moulinrouge,paris_moulinrouge_000004
10.27202,3.7086287000000002,paris_invalides,paris_invalides_000106
8.079238,1.8185995,paris_moulinrouge,paris_moulinrouge_000498
11.8694515,3.1368985,paris_invalides,paris_invalides_000364
5.2226870000000005,7.548275,paris_invalides,paris_invalides_000410
6.2745,5.403074,paris_triomphe,paris_triomphe_000881
0.46370602,4.917609,paris_general,paris_general_000131
8.229428,7.1716156,paris_louvre,paris_louvre_000141
5.232079,6.292512400000001,paris_general,paris_general_003045
2.6419013,5.2459755,paris_general,paris_general_001200
8.139923,2.0242421999999998,paris_invalides,paris_invalides_000290
-0.07253169,6.0936937,paris_general,paris_general_001993
6.685181599999999,7.102939999999999,paris_invalides,paris_invalides_000775
7.4865084,7.886197,paris_general,paris_general_002734
8.328086,2.5866585,paris_triomphe,paris_triomphe_000299
8.998961999999999,6.7631397,paris_louvre,paris_louvre_000142
9.499364,2.911795,paris_general,paris_general_001115
8.928500999999999,8.051979,paris_general,paris_general_002351
6.738008,6.48557,paris_sacrecoeur,paris_sacrecoeur_000437
0.3946716,4.156351,paris_moulinrouge,paris_moulinrouge_000746
5.6247125,3.3758495,paris_moulinrouge,paris_moulinrouge_000855
0.4358151,6.512862,paris_general,paris_general_000887
1.0049781,7.4262104,paris_general,paris_general_000060
