PCA_1,PCA_2,labels,filename
-6741.259076555869,3744.081364932093,bass,bass_0028
21770.07265545363,-586.2411687492619,gramophone,gramophone_0049
-233.09803580620647,-2914.6819995854,bass,bass_0014
-12382.071902576245,-12875.958277145075,grand_piano,grand_piano_0058
-13805.0615521728,-11073.855951722458,grand_piano,grand_piano_0064
-5572.606257915558,-12471.850232065985,grand_piano,grand_piano_0070
470.69648167885714,5199.2219235946695,electric_guitar,electric_guitar_0051
14529.176774252132,-2072.6747963847,electric_guitar,electric_guitar_0045
14275.461510159626,-2016.9349752848016,accordion,accordion_0043
13846.354340715408,4153.558384683722,accordion,accordion_0042
-17221.702437865973,11554.298232717441,electric_guitar,electric_guitar_0044
-15709.112834886853,8029.744371366659,electric_guitar,electric_guitar_0050
18916.210758218083,-2351.771368935795,grand_piano,grand_piano_0071
10537.142959596373,-10242.037544611892,grand_piano,grand_piano_0065
-13140.274361911765,-11938.213397864614,grand_piano,grand_piano_0059
-4625.044406976868,4309.1522035436465,bass,bass_0015
4098.956805250477,2336.127631959753,gramophone,gramophone_0048
10776.61794196039,1327.1997473347526,bass,bass_0001
11196.670431051809,1061.3438896548607,bass,bass_0029
-4853.321339879895,3176.0005129391634,bass,bass_0017
6182.617233881662,749.2313015118211,bass,bass_0003
-20943.838951430258,6448.061340595121,euphonium,euphonium_0059
-10578.051288586248,-12062.478336241953,grand_piano,grand_piano_0073
-16062.567862070426,-5506.377562642209,grand_piano,grand_piano_0067
11480.810430863665,-1805.7023143021868,electric_guitar,electric_guitar_0046
3935.956091460424,9738.8993703551,accordion,accordion_0040
-12117.289781304846,-10125.101837919396,grand_piano,grand_piano_0098
-5959.080384923804,-5114.8351550069565,electric_guitar,electric_guitar_0052
11440.425329917502,-1023.8885094107173,accordion,accordion_0054
-13303.168136015904,-10570.029588920816,grand_piano,grand_piano_0099
13932.149604343753,1537.414458896107,accordion,accordion_0055
3220.126068410253,1976.0948921910046,electric_guitar,electric_guitar_0053
13257.783737270349,810.62490544422,accordion,accordion_0041
19.876234494062377,9941.293418509682,electric_guitar,electric_guitar_0047
-18583.387087759642,494.9245369886355,grand_piano,grand_piano_0066
-20330.45638329337,6115.868658017514,euphonium,euphonium_0058
-19033.39757732848,-5698.510850149582,grand_piano,grand_piano_0072
10436.082665505504,1979.253981824168,euphonium,euphonium_0064
-6045.929042964773,-4358.428183962508,bass,bass_0002
17912.886137937945,-5731.725565876087,bass,bass_0016
7890.721969037128,-8206.720086456338,bass,bass_0012
20793.140693645448,3746.9802817716254,bass,bass_0006
-15225.301147091868,-9217.12885558677,grand_piano,grand_piano_0076
-12981.827240745313,1597.8262634023242,euphonium,euphonium_0048
-11552.974906631009,-4105.655426525965,grand_piano,grand_piano_0062
11212.931734919404,-2805.494976299329,euphonium,euphonium_0060
-9580.306301896422,2879.3264236040636,grand_piano,grand_piano_0089
-4580.776342761781,14004.279766539115,electric_guitar,electric_guitar_0043
4101.626400873543,8696.979361319578,accordion,accordion_0045
6261.022571773098,-196.08960060257286,electric_guitar,electric_guitar_0057
14069.377964160227,-1511.5190165011254,accordion,accordion_0051
6699.460095695991,8025.744730954054,accordion,accordion_0050
6933.322095110963,1644.3399601159801,electric_guitar,electric_guitar_0056
-336.2068982915485,-7998.700448631136,grand_piano,grand_piano_0088
1733.3742291810122,7590.922908019238,accordion,accordion_0044
17024.367030227277,-3834.8745799647545,electric_guitar,electric_guitar_0042
6581.4335481958005,1615.1045907248154,euphonium,euphonium_0061
-11806.361492771348,2321.964122639642,euphonium,euphonium_0049
-9870.1482839357,-9991.249781804803,grand_piano,grand_piano_0063
-14474.48633390048,-12608.56371684318,grand_piano,grand_piano_0077
4134.7101286064035,-784.9129064659439,bass,bass_0007
10187.055772666883,-1251.5363692502374,bass,bass_0013
-22444.703716144893,5248.128597722537,bass,bass_0005
18572.4448846934,643.1521360024834,bass,bass_0011
7192.2736565756795,1584.3268387854196,bass,bass_0039
7986.3224490305565,-4522.260149977655,grand_piano,grand_piano_0061
-1816.0898357050355,-6291.539371953048,grand_piano,grand_piano_0075
-18382.97849831318,3206.905769378512,euphonium,euphonium_0063
16269.614747245427,565.6515757504374,grand_piano,grand_piano_0049
4205.754429871504,-4433.744356120194,electric_guitar,electric_guitar_0068
8895.963602351132,2081.2145518407387,electric_guitar,electric_guitar_0054
17027.41531729221,1191.2722597598315,accordion,accordion_0052
873.2698473952687,2357.3859983578022,electric_guitar,electric_guitar_0040
1519.9277229856464,2984.7275343772967,accordion,accordion_0046
14944.96307549157,4929.585321443435,accordion,accordion_0047
8.27994215067744,5557.489316395897,electric_guitar,electric_guitar_0041
12070.98300401585,-319.4689302781408,accordion,accordion_0053
18935.894526182194,-3851.259116804265,electric_guitar,electric_guitar_0055
2531.412974596732,1635.8569626023498,electric_guitar,electric_guitar_0069
-14259.732923530222,4516.773974304767,euphonium,euphonium_0062
-15465.462494948833,-5485.0873792672965,grand_piano,grand_piano_0048
-1946.717420201865,-7673.739374201418,grand_piano,grand_piano_0074
-6641.495606860312,-2632.565361609023,grand_piano,grand_piano_0060
12773.5404552757,-2109.1710621824013,bass,bass_0038
3999.4129806020815,-3711.5190508258033,bass,bass_0010
-8621.91156124014,1055.3188353397834,bass,bass_0004
-17779.39935764246,-1720.9414524215397,gramophone,gramophone_0016
-19365.136089303083,396.9688658965172,gramophone,gramophone_0002
6683.6251493916125,1116.0940333636718,euphonium,euphonium_0011
-17853.848315333453,-510.00133771099365,euphonium,euphonium_0005
18868.403180061665,-4051.752140880873,grand_piano,grand_piano_0007
7683.399375987801,1638.3799257816854,euphonium,euphonium_0039
-12010.727711474776,-14293.016036938585,grand_piano,grand_piano_0013
3933.9868822585413,1755.577974997119,electric_guitar,electric_guitar_0032
13960.463242718415,1553.4359444990616,accordion,accordion_0034
13162.266976517432,-5968.717063098502,electric_guitar,electric_guitar_0026
12493.918168199143,623.1819874985765,accordion,accordion_0020
6356.017082473913,10609.57248683335,accordion,accordion_0008
7756.343915345021,7308.612287993833,accordion,accordion_0009
11772.303445120664,-1848.5781858356588,accordion,accordion_0021
4736.685655527204,91.82891773327394,electric_guitar,electric_guitar_0027
18094.774490930467,-2164.81502740608,accordion,accordion_0035
-6652.085248189665,8914.414980511045,electric_guitar,electric_guitar_0033
8378.1165199722,81.87536301363335,euphonium,euphonium_0038
-4127.342070011194,3207.635756502521,grand_piano,grand_piano_0012
21958.04032255409,-1671.22822658417,grand_piano,grand_piano_0006
17211.749207897286,776.301830435972,euphonium,euphonium_0004
