ISM_1,ISM_2,labels,filename
-6350.189987096052,1615.306623261521,paris_triomphe,paris_triomphe_000348
-1948.1134596892969,725.2958223694154,paris_general,paris_general_003111
13548.851642950107,-3980.585340271729,paris_general,paris_general_002428
-5337.948899441509,-4110.1073810660055,paris_sacrecoeur,paris_sacrecoeur_000096
11707.378763256422,-5483.990247902015,paris_general,paris_general_001697
-4195.617472984952,-1618.6833137569222,paris_sacrecoeur,paris_sacrecoeur_000204
-1522.8333662253915,-2515.101610250681,paris_louvre,paris_louvre_000438
-8166.30255443396,-2383.9534125915425,paris_general,paris_general_002387
62.356347738541814,763.1101440648538,paris_invalides,paris_invalides_000254
1169.6710625481815,-1861.950872723482,paris_sacrecoeur,paris_sacrecoeur_000261
-6351.392440085916,-3469.521367300849,paris_moulinrouge,paris_moulinrouge_000445
14250.035436586128,-3831.7908522047865,paris_general,paris_general_002220
-7381.256161355395,-1037.8406537194805,paris_general,paris_general_002084
2135.015344042128,1656.090812092753,paris_invalides,paris_invalides_000410
-2517.793988941908,178.15778210347668,paris_triomphe,paris_triomphe_000881
-5972.247384066328,-6683.150413654958,paris_invalides,paris_invalides_000290
-2140.1024717625533,2855.608578715048,paris_general,paris_general_002734
15057.235606257142,2694.4375756629915,paris_general,paris_general_000060
-3724.313338530398,858.7241672670209,paris_louvre,paris_louvre_000449
-2104.770215328805,4596.710914303967,paris_invalides,paris_invalides_000483
-5520.7947143127685,-2412.0209095042787,paris_invalides,paris_invalides_000198
-7007.760030433092,-1292.804339313951,paris_sacrecoeur,paris_sacrecoeur_000221
-4593.643265117708,-7922.16614269375,paris_general,paris_general_000800
923.438627415128,-1157.116328642628,paris_moulinrouge,paris_moulinrouge_000296
-7541.4189348338,-3369.4165840574024,paris_moulinrouge,paris_moulinrouge_000011
-6892.822963188602,-113.01800755169201,paris_invalides,paris_invalides_000488
-6332.080813272855,5302.895396465971,paris_moulinrouge,paris_moulinrouge_000327
-1784.246225261984,7885.043248148475,paris_sacrecoeur,paris_sacrecoeur_000164
5929.35371188708,-5659.1033796109205,paris_general,paris_general_002711
-3153.296315188956,-3457.9972055558337,paris_triomphe,paris_triomphe_000617
-9123.4536142526,-4900.0496409888065,paris_general,paris_general_002509
-2714.579158767449,2126.4335899216185,paris_general,paris_general_001233
-6191.152011943205,-1083.3540757897658,paris_invalides,paris_invalides_000056
14229.685674607634,-3690.3889490093925,paris_moulinrouge,paris_moulinrouge_000858
-6177.20598414348,-3193.558898671828,paris_louvre,paris_louvre_000086
14523.357380324716,-4511.4467122910355,paris_louvre,paris_louvre_000303
-6300.1343888259835,-3408.482852687762,paris_sacrecoeur,paris_sacrecoeur_000535
1292.8262443140034,908.1557046076828,paris_triomphe,paris_triomphe_000193
-7710.802974781335,-1814.175466305284,paris_moulinrouge,paris_moulinrouge_000263
6516.37382111183,9006.174102268156,paris_louvre,paris_louvre_000269
-2283.011312017363,-4677.57296297225,paris_triomphe,paris_triomphe_000840
-3448.49438266479,1842.4180766658096,paris_louvre,paris_louvre_000111
-7160.713341489513,1319.1234316894859,paris_sacrecoeur,paris_sacrecoeur_000438
-2087.189067011849,-3682.606802174617,paris_general,paris_general_000743
-2550.6935199228233,-686.9213604405358,paris_general,paris_general_002398
-5984.551762832313,-3419.220529422605,paris_sacrecoeur,paris_sacrecoeur_000419
15306.740595725825,-382.95462915078605,paris_invalides,paris_invalides_000646
442.2693321081887,6609.738927036688,paris_louvre,paris_louvre_000255
-4441.957592283238,4440.543416614401,paris_general,paris_general_001999
10413.35097044097,1741.4848699382526,paris_moulinrouge,paris_moulinrouge_000653
-6023.4783392365625,3108.8194737404547,paris_moulinrouge,paris_moulinrouge_000022
-2401.244437111973,-5478.761119377362,paris_sacrecoeur,paris_sacrecoeur_000081
