MDS_1,MDS_2,labels,filename
5777.479636565361,-3570.515015664425,paris_general,paris_general_002958
5146.211039339671,2970.8224759420677,paris_sacrecoeur,paris_sacrecoeur_000096
6852.722454689828,-664.4463993604727,paris_sacrecoeur,paris_sacrecoeur_000204
6151.969412166849,5847.14066815677,paris_general,paris_general_002387
-369.1057821809071,-168.39425469738697,paris_invalides,paris_invalides_000254
4186.162543856872,2824.56052739906,paris_triomphe,paris_triomphe_000909
2153.0365491076723,-5817.2025682298745,paris_general,paris_general_002459
-5613.441514699194,-2373.086051812293,paris_moulinrouge,paris_moulinrouge_000261
-6790.010563451504,2901.1747638014253,paris_triomphe,paris_triomphe_000914
-2499.0418541421404,5794.669102338828,paris_louvre,paris_louvre_000015
-7806.1339934513635,-2346.330061980368,paris_louvre,paris_louvre_000017
-2799.836929650769,-8634.503890546548,paris_general,paris_general_002220
3591.5590243046477,3892.6988274534497,paris_general,paris_general_002084
4860.2359371437515,-1846.742626029087,paris_sacrecoeur,paris_sacrecoeur_000165
-1727.8520190724153,-991.1765837242116,paris_general,paris_general_000306
-2397.180538109065,-8559.820981044635,paris_general,paris_general_000934
-5393.081920907167,-443.49511095902085,paris_general,paris_general_002267
-1692.0921466874274,-3898.7589546283893,paris_general,paris_general_000299
-3406.638826584116,9762.926453248969,paris_moulinrouge,paris_moulinrouge_000004
1802.7328944975366,9024.89263346052,paris_invalides,paris_invalides_000364
-569.510854320141,-1830.3070266562024,paris_invalides,paris_invalides_000410
-1790.429975813631,785.2021733385885,paris_general,paris_general_002734
-147.55203012836176,2030.150909820152,paris_louvre,paris_louvre_000142
-3538.055884990019,4134.359129187519,paris_general,paris_general_002351
-787.726652058263,460.6633424649968,paris_triomphe,paris_triomphe_000024
2236.731968820937,6089.958264485514,paris_louvre,paris_louvre_000391
5065.246135054559,3337.7958682424064,paris_invalides,paris_invalides_000316
3236.2521202761627,-4801.618952272567,paris_triomphe,paris_triomphe_000958
-171.74062471703292,-9966.517212376424,paris_general,paris_general_000355
-2303.783834715315,-586.0870127411539,paris_triomphe,paris_triomphe_000771
-5333.258935457643,4262.638075911034,paris_triomphe,paris_triomphe_000086
1158.2844250923156,-4087.337477185073,paris_general,paris_general_002362
4694.816563297629,1973.1614312628305,paris_moulinrouge,paris_moulinrouge_000492
6675.4787984861205,-2838.430725621289,paris_moulinrouge,paris_moulinrouge_000490
5546.181857871421,7440.481460692736,paris_moulinrouge,paris_moulinrouge_000011
1511.6396951334,-9431.814117844262,paris_moulinrouge,paris_moulinrouge_000367
4699.1573672836,1071.3579637238743,paris_louvre,paris_louvre_000104
-4755.911473126147,7647.984799138368,paris_moulinrouge,paris_moulinrouge_000327
4757.231466532069,4555.225256675218,paris_invalides,paris_invalides_000200
3643.2045472591662,-396.12666660739205,paris_invalides,paris_invalides_000248
-2584.109435614649,-9319.522645470264,paris_moulinrouge,paris_moulinrouge_000858
-535.2801570744394,2416.815375553707,paris_invalides,paris_invalides_000140
-1024.5025948994976,-1968.7395086767667,paris_triomphe,paris_triomphe_000193
-434.57171626854415,-8441.674345173882,paris_general,paris_general_001997
-4850.016552803018,-1403.2377805963067,paris_moulinrouge,paris_moulinrouge_000622
-3935.077747858933,2017.2348970107228,paris_general,paris_general_002985
-262.98694874328703,3001.1822138334724,paris_louvre,paris_louvre_000111
5308.184551315921,59.01916761142092,paris_sacrecoeur,paris_sacrecoeur_000438
741.2078554148752,4906.879063732223,paris_louvre,paris_louvre_000081
2061.5662698985448,-4859.500339590501,paris_general,paris_general_001235
-3844.41220830355,-1215.823798519911,paris_sacrecoeur,paris_sacrecoeur_000302
-2889.2930839146825,-7881.197593661368,paris_invalides,paris_invalides_000646
-4044.635381853912,-6488.875912961345,paris_moulinrouge,paris_moulinrouge_000653
-2444.659754322737,4098.350275872613,paris_triomphe,paris_triomphe_000329
5915.524667111823,1252.453030802641,paris_louvre,paris_louvre_000232
-4192.340087001191,-8278.76606007636,paris_moulinrouge,paris_moulinrouge_000782
5485.740083564384,6573.705818079538,paris_general,paris_general_002052
2191.069258388353,4295.887134004429,paris_invalides,paris_invalides_000025
3781.918799026588,-7590.4979966352,paris_louvre,paris_louvre_000162
6248.2000966762525,445.5206514705597,paris_triomphe,paris_triomphe_000635
-96.50960224430041,2585.7728416695168,paris_invalides,paris_invalides_000356
-5473.809593169721,-778.9394120619447,paris_triomphe,paris_triomphe_000964
3088.5245283753325,7069.315829765388,paris_invalides,paris_invalides_000663
-2678.7214818639754,-9289.125848189455,paris_general,paris_general_001736
-502.6506773094934,6284.294428243979,paris_louvre,paris_louvre_000316
302.85842213048613,1077.077247106158,paris_sacrecoeur,paris_sacrecoeur_000118
305.9591419474735,-8863.24899326797,paris_triomphe,paris_triomphe_000206
1998.2038001423707,8372.398722966986,paris_general,paris_general_000313
-5026.0548319642885,-7636.239203360285,paris_triomphe,paris_triomphe_000664
-3913.703054013863,7243.049971745303,paris_general,paris_general_000086
683.5106820663332,-416.3166338357692,paris_invalides,paris_invalides_000565
-2991.9467131411293,630.7932593561737,paris_invalides,paris_invalides_000375
245.3635899182368,2690.560706354652,paris_sacrecoeur,paris_sacrecoeur_000233
-1045.771955068828,3851.039189550824,paris_general,paris_general_001179
600.4658629655892,1360.517086253217,paris_sacrecoeur,paris_sacrecoeur_000649
-3777.573949446755,-3231.9551050223577,paris_invalides,paris_invalides_000047
-2046.5759399429232,-1944.0094084289947,paris_sacrecoeur,paris_sacrecoeur_000497
-5009.366628652309,-5626.17801501104,paris_triomphe,paris_triomphe_000799
3221.9975252135305,7068.539769802479,paris_invalides,paris_invalides_000661
6364.622643282615,1974.2905922645327,paris_general,paris_general_000113
2742.9269063121665,-5793.402514432744,paris_moulinrouge,paris_moulinrouge_000186
-2346.4129534440053,-4636.568973683254,paris_sacrecoeur,paris_sacrecoeur_000460
-4461.776281354392,6343.965221438497,paris_moulinrouge,paris_moulinrouge_000294
574.7583527880457,2102.121182975759,paris_louvre,paris_louvre_000426
214.45270251297862,-7343.485728557593,paris_triomphe,paris_triomphe_000663
-4389.368543346635,-1992.6038627961111,paris_triomphe,paris_triomphe_000029
1146.9524257043122,5612.020701210949,paris_triomphe,paris_triomphe_001116
-5584.873094514272,-6197.51485233321,paris_moulinrouge,paris_moulinrouge_000215
63.33831707295071,5219.923974146525,paris_invalides,paris_invalides_000162
1582.1941491950486,1164.9367011121878,paris_moulinrouge,paris_moulinrouge_000391
-1502.5961531698597,2578.1308224030663,paris_sacrecoeur,paris_sacrecoeur_000314
3076.477121716163,-1223.9159666229234,paris_general,paris_general_002821
-2682.2871744166864,1492.7180296048969,paris_louvre,paris_louvre_000163
4412.720634385995,4265.275071555543,paris_invalides,paris_invalides_000048
3911.5487401990576,1559.4653741537513,paris_invalides,paris_invalides_000670
-1171.2284559393952,1839.3168197740588,paris_invalides,paris_invalides_000256
-2108.8645260602943,-8061.1750920996965,paris_sacrecoeur,paris_sacrecoeur_000215
-3057.253363542765,-6156.509705400597,paris_triomphe,paris_triomphe_000175
-325.5782665242421,4476.897434988703,paris_moulinrouge,paris_moulinrouge_000288
2964.5104845713304,617.3927350528973,paris_louvre,paris_louvre_000396
5779.127952347534,-3856.187560785554,paris_general,paris_general_000129
5417.220031953487,3159.0967778288546,paris_general,paris_general_002445
-3756.377791152321,6249.054852954952,paris_triomphe,paris_triomphe_000938
1571.984049317689,-3725.737702811984,paris_invalides,paris_invalides_000275
4426.397151544779,826.818114362672,paris_moulinrouge,paris_moulinrouge_000267
4370.122586158614,-1902.9321945419813,paris_general,paris_general_000043
-5499.200784745422,5810.511004599847,paris_moulinrouge,paris_moulinrouge_000113
3830.934345756821,475.2041305708964,paris_general,paris_general_002103
5264.100227484744,3123.368215223041,paris_sacrecoeur,paris_sacrecoeur_000153
889.9009617860236,-2480.149126632756,paris_general,paris_general_002864
2179.3701260381144,1950.492403538099,paris_louvre,paris_louvre_000074
-973.437756340515,-2637.642007608369,paris_invalides,paris_invalides_000297
-5253.20980546759,-7499.957417169357,paris_moulinrouge,paris_moulinrouge_000521
-4774.550247633081,-2917.463901413983,paris_triomphe,paris_triomphe_000226
1484.2524054625449,4571.882096547293,paris_general,paris_general_002641
237.3712159240308,4487.1871231824125,paris_triomphe,paris_triomphe_000161
-899.8319224564157,-9069.49669602573,paris_general,paris_general_002977
5991.378297743488,-1287.912657133933,paris_triomphe,paris_triomphe_000734
857.0614952756838,5227.898952632472,paris_moulinrouge,paris_moulinrouge_000159
-1924.5011149403485,-7910.4082587607545,paris_triomphe,paris_triomphe_000713
-3248.558903778532,2007.309610182168,paris_triomphe,paris_triomphe_000467
-3147.190845605008,-7241.312050008093,paris_triomphe,paris_triomphe_000007
2079.551049080323,2387.231362167713,paris_invalides,paris_invalides_000617
-711.1210973274898,-9457.606287229448,paris_louvre,paris_louvre_000423
-3590.3558405322838,-2889.619183521997,paris_triomphe,paris_triomphe_000634
-2340.986602817809,2078.9410248993368,paris_triomphe,paris_triomphe_001099
4249.213494590044,5984.963019917464,paris_louvre,paris_louvre_000332
-3140.436500590153,4443.279011872286,paris_triomphe,paris_triomphe_000397
-1817.209262742506,-386.2276114075488,paris_invalides,paris_invalides_000070
-2714.39643492877,-7627.372508268473,paris_triomphe,paris_triomphe_000401
3080.166032208481,4988.0209111685635,paris_invalides,paris_invalides_000230
-5239.519132621723,2212.9860789683994,paris_general,paris_general_000712
-2019.0264219456967,1671.9398577880042,paris_invalides,paris_invalides_000252
-7386.26369400308,932.25598410599,paris_general,paris_general_002444
-3661.5329436821253,-7965.150414499137,paris_louvre,paris_louvre_000371
-2933.627277842792,-8674.2732440552,paris_moulinrouge,paris_moulinrouge_000642
-1677.8084062651885,-2866.6295694190253,paris_invalides,paris_invalides_000402
2935.556294178631,-8202.702056702185,paris_invalides,paris_invalides_000642
-6671.740202786773,-4181.2170769094455,paris_triomphe,paris_triomphe_001089
-1655.6602653053278,-9064.627870885914,paris_moulinrouge,paris_moulinrouge_000632
3280.845249181621,5130.0431822483915,paris_triomphe,paris_triomphe_000151
-312.13743888343737,-7144.089099242015,paris_louvre,paris_louvre_000013
4223.085710272479,1725.6955051303455,paris_louvre,paris_louvre_000299
1753.7252431961429,3145.054057592543,paris_invalides,paris_invalides_000247
-212.1648893175246,1539.9504958180166,paris_moulinrouge,paris_moulinrouge_000640
-1545.6812187564526,-4198.396927931736,paris_sacrecoeur,paris_sacrecoeur_000572
-2200.573332891144,6403.4984171326505,paris_general,paris_general_000144
3320.0666042491607,-1445.4574317215686,paris_moulinrouge,paris_moulinrouge_000156
-4189.075217491493,-8081.037399649499,paris_triomphe,paris_triomphe_000500
4052.0636902637543,-2628.451768857107,paris_moulinrouge,paris_moulinrouge_000315
4268.888573865866,-2280.4817110192307,paris_moulinrouge,paris_moulinrouge_000385
-6364.507343647769,-7489.069538648028,paris_moulinrouge,paris_moulinrouge_000291
6202.25734814065,740.9577914743498,paris_moulinrouge,paris_moulinrouge_000489
