PCA_1,PCA_2,labels,filename
354.45234798311736,-959.5039394610474,paris_general,paris_general_002958
-2962.6611660282592,-2964.153860528485,paris_sacrecoeur,paris_sacrecoeur_000096
-1546.9331798690005,-1085.251531221491,paris_sacrecoeur,paris_sacrecoeur_000204
-4441.035410583671,-1012.7112339687926,paris_general,paris_general_002387
-264.8726931979835,263.45412395084134,paris_invalides,paris_invalides_000254
-3076.2837542069715,-1878.8875470693167,paris_triomphe,paris_triomphe_000909
3980.44382468242,-2841.115381107033,paris_general,paris_general_002459
2468.5460429350196,2289.804678068212,paris_moulinrouge,paris_moulinrouge_000261
-915.9976245801312,-189.15584133923528,paris_triomphe,paris_triomphe_000914
-2719.551668830923,1497.6922359838863,paris_louvre,paris_louvre_000015
2674.431736712627,-452.068919846942,paris_louvre,paris_louvre_000017
7868.827580040786,-275.85540943442896,paris_general,paris_general_002220
-3501.400762256297,-879.5816452572823,paris_general,paris_general_002084
-406.61408314596304,-2676.0200099878584,paris_sacrecoeur,paris_sacrecoeur_000165
408.2777619823903,1121.262174469248,paris_general,paris_general_000306
7938.003182060574,-384.1463508524439,paris_general,paris_general_000934
1061.235141593588,3166.172391112252,paris_general,paris_general_002267
3448.624233588258,437.74007002297515,paris_general,paris_general_000299
-6123.3476188735485,4616.195331747631,paris_moulinrouge,paris_moulinrouge_000004
-6819.6524061580285,692.5834876882174,paris_invalides,paris_invalides_000364
1451.6301351838754,310.0302652229758,paris_invalides,paris_invalides_000410
-605.403595414086,1540.6828827077509,paris_general,paris_general_002734
-1926.0711601847968,773.2650357690308,paris_louvre,paris_louvre_000142
-1988.324925306725,2053.48675465744,paris_general,paris_general_002351
-653.9300381556252,600.4620234069041,paris_triomphe,paris_triomphe_000024
-2909.1531091251104,-504.3293631352452,paris_louvre,paris_louvre_000391
-3544.869448840357,-2843.4030586905683,paris_invalides,paris_invalides_000316
2142.434981607536,-500.5558525195683,paris_triomphe,paris_triomphe_000958
8526.468271002448,-2093.6211868895666,paris_general,paris_general_000355
319.0179153736864,1357.5527123146476,paris_triomphe,paris_triomphe_000771
-1476.5693639377407,2011.2269831788965,paris_triomphe,paris_triomphe_000086
1853.360769474354,-319.8336200336753,paris_general,paris_general_002362
-2284.046748708329,-533.1631926552527,paris_moulinrouge,paris_moulinrouge_000492
-338.832757729622,-204.3517630170305,paris_moulinrouge,paris_moulinrouge_000490
-4795.072168627307,-1283.4747218165826,paris_moulinrouge,paris_moulinrouge_000011
6559.164298495468,2884.606258866601,paris_moulinrouge,paris_moulinrouge_000367
-2058.797074637247,-2232.245788960563,paris_louvre,paris_louvre_000104
-4098.365585594082,3677.1022954976906,paris_moulinrouge,paris_moulinrouge_000327
-4196.296909286749,-2337.986387402625,paris_invalides,paris_invalides_000200
-1159.8822480056372,-1698.5486197758826,paris_invalides,paris_invalides_000248
8472.376367182656,-634.9693608906423,paris_moulinrouge,paris_moulinrouge_000858
-2058.018506780756,1546.6780329678595,paris_invalides,paris_invalides_000140
861.3325151416195,270.3564721437723,paris_triomphe,paris_triomphe_000193
7402.839123821407,-1628.7291997210316,paris_general,paris_general_001997
