ISM_1,ISM_2,labels,filename
-54063.68722422524,-8842.30354655609,obj75_,obj75__105
2276.552618183477,-21746.834235848703,obj67_,obj67__135
34720.06526990395,9040.206648535932,obj100_,obj100__250
2498.631558171087,-453.424287188362,obj72_,obj72__265
2501.911916310759,-457.52847945859537,obj72_,obj72__30
2339.897078159981,-295.3390143850927,obj74_,obj74__30
-57716.48915216768,-11099.437061957342,obj75_,obj75__85
2483.483401016709,-430.9818421920108,obj72_,obj72__215
2255.773496513209,-230.12318197298973,obj76_,obj76__350
2331.0789362786863,-279.6203911509356,obj74_,obj74__240
2337.658512240274,-310.01310509709134,obj76_,obj76__285
2330.6084723089825,-278.4974997606116,obj74_,obj74__260
2347.270238463777,-304.3940124327035,obj74_,obj74__95
-4221.187817810305,11670.586017883623,obj100_,obj100__350
74771.16873113366,-5072.520205123147,obj100_,obj100__125
2490.323095356708,-441.2599114181627,obj72_,obj72__305
2439.477617228365,-378.38705719361917,obj73_,obj73__255
2440.8156116260025,-380.315602480459,obj73_,obj73__270
2487.578520724178,-436.06184718866564,obj72_,obj72__95
-19363.846023084974,8893.887854104341,obj100_,obj100__65
-46445.43944067624,-3964.3792927813897,obj75_,obj75__140
2098.566000922312,-29924.27118928033,obj67_,obj67__115
2388.243620318101,-940.6455872790724,obj67_,obj67__210
-12739.583470594687,10409.701829446169,obj100_,obj100__35
2463.4068182170263,-401.7019943061152,obj72_,obj72__340
2362.916821460186,-337.9924764600785,obj76_,obj76__80
1932.7138476114292,35261.71253417926,obj67_,obj67__80
2371.121904856802,-343.27596803811394,obj76_,obj76__75
2260.580150406293,-235.8744494808201,obj76_,obj76__10
61173.64575249332,820.6406896360388,obj100_,obj100__175
2331.669094596636,-284.4498794319373,obj74_,obj74__345
2347.073537035203,-304.25945578165835,obj74_,obj74__80
-33824.39063786172,3769.651351484439,obj75_,obj75__230
-55454.93769580807,-9713.31022394447,obj75_,obj75__70
-36747.59303634168,2271.779121701017,obj75_,obj75__330
8185.508590001014,12234.078178743137,obj100_,obj100__305
2497.0984826511426,-450.3737089698947,obj72_,obj72__75
2509.382118752581,-468.43930707419037,obj72_,obj72__155
2331.788085997255,-281.33616941672784,obj74_,obj74__305
2382.7603405639625,598.8873297560635,obj67_,obj67__215
2433.6644111189444,-369.71766164577826,obj73_,obj73__135
2341.9539373871053,-297.5214429334607,obj74_,obj74__135
2510.930960990869,-470.8455714616771,obj67_,obj67__285
2358.2073309043108,-330.46189879112933,obj76_,obj76__70
2195.2911128737005,20119.784359385627,obj67_,obj67__250
2330.156021198706,-281.90809891278906,obj74_,obj74__195
2344.915954313359,-301.6804295573489,obj74_,obj74__55
2437.606643570862,-375.83964356530623,obj73_,obj73__60
