TSNE_1,TSNE_2,labels,filename
42.943794,-19.909056,2,2_2351
37.770035,17.556060000000002,6,6_5258
-44.217396,-53.624886,3,3_5332
18.648783,29.948856,4,4_8031
-87.75983000000002,8.071558999999999,5,5_3089
62.459618000000006,44.214962,4,4_4307
22.299702,-69.11713,1,1_7160
2.7006767000000003,79.90808,0,0_8863
11.843567,69.85335,0,0_3552
33.42807,-81.45551,1,1_5972
84.2692,-10.862744,4,4_1678
-8.042453,28.905773,0,0_9994
4.603904,-16.88058,6,6_9438
-14.725628,-6.2430897000000005,4,4_6824
68.77920999999999,20.620008,4,4_7469
-21.05731,32.173195,0,0_1445
84.93963000000002,2.4795072,2,2_8989
-75.22686999999998,-21.263968,5,5_9465
26.54841,25.143166,4,4_3792
-1.7487751,-19.087324,0,0_4523
-29.31363,-26.810995,3,3_4994
58.111813,-20.9408,2,2_9822
-26.443502,-61.05325,3,3_8762
-73.19145999999998,-19.485584,5,5_6411
51.00212,-70.728134,1,1_6223
24.894514,18.322746,6,6_6358
-33.61933,-51.785698,3,3_6606
52.84567,8.213841,2,2_6615
-11.744959,-94.42377,1,1_6659
-27.862461,61.808365,6,6_5090
-21.394144,35.292194,6,6_7152
-85.06309,-18.48513,5,5_7380
-4.3426614,58.536346,0,0_2114
33.137928,-89.1579,1,1_9408
15.622614000000002,-89.47171999999998,1,1_8850
49.06494,9.2324505,6,6_2757
-92.16585,2.282643,5,5_7175
79.70799,16.035812,4,4_2917
0.21027221,-65.07751999999999,1,1_1197
24.808607,-33.347935,6,6_9168
-11.734683,68.9827,0,0_4847
-6.459258599999999,48.816975,0,0_1458
77.96401,-6.620509599999999,2,2_3135
9.995876,73.30409,6,6_1340
-41.20108,31.26578,6,6_4058
50.16741,-71.135345,1,1_8044
56.29071,53.504128,2,2_6129
9.77789,-90.99161,1,1_4825
2.8261743,13.119897,4,4_2262
39.99877,-57.43929,1,1_8888
-22.025185,9.510884,3,3_2080
30.073792,-17.308567,6,6_8559
48.74792,37.22744,4,4_1306
32.774303,-90.14698,1,1_4243
18.709503,29.431477,4,4_5600
48.873634,45.739677,6,6_9446
-71.3929,40.42384000000001,5,5_1619
-47.54451,5.3697014,6,6_9880
-84.91964,-11.40656,5,5_8939
-22.59132,-76.50647,1,1_8330
25.668308,-18.577904,6,6_7794
-22.25761,29.903826,0,0_6279
-11.05899,-5.4443790000000005,4,4_5500
19.502161,-17.563114000000002,3,3_5636
63.040012,48.715492,2,2_8195
-86.6213,-14.896473,5,5_4462
73.57266,-17.47246,2,2_6730
-9.763628,59.315437,0,0_6627
-65.13533000000001,47.49644,5,5_9255
-26.16432,55.288776,0,0_9484
10.188274,-95.59304,1,1_551
3.5183332000000003,-90.44508,1,1_4315
38.173832,-51.037006,1,1_1342
0.76438934,-65.03406,1,1_5146
-57.332844,-27.59796,3,3_1819
-29.814104,-18.474459,3,3_5331
-82.64075,-6.988564,5,5_8471
49.657856,49.24383,6,6_1446
26.048328,37.82306,6,6_337
-16.77224,-16.649835999999997,3,3_3757
37.065323,-63.654827,1,1_723
89.532425,21.125925,4,4_3888
-62.992294,51.916412,5,5_4768
-47.961327,-14.665192,3,3_8933
-4.2937183,55.16441999999999,0,0_8058
43.03104,-52.810875,1,1_442
-21.055222,0.7034828000000001,3,3_286
-17.331008999999998,-49.540176,3,3_3664
-15.103131,-21.067324,4,4_4832
38.609367,41.303547,4,4_4384
-2.6301877,-36.09936,5,5_2035
45.235447,69.752464,4,4_8129
30.271376,70.12184,6,6_6947
5.1478715,69.59208000000001,6,6_8095
-20.13216,14.043251,3,3_6440
12.660303,-31.692090000000004,0,0_4625
